"","STATE","COUNTY","cases","lat","lon","check"
"273","IN","KNOX",2,40.964613,-90.213654,"KNOX"
"274","IN","LA PORTE",1,41.378592,-86.788687,"LA PORTE"
"275","IN","LAKE",8,38.946476,-122.657017,"LAKE"
"276","IN","LAWRENCE",1,34.673954,-87.28962,"LAWRENCE"
"277","IN","MADISON",2,34.719303,-86.475425,"MADISON"
"278","IN","MARION",7,34.16493,-87.739592,"MARION"
"279","IN","MARTIN",1,27.050934,-80.158594,"MARTIN"
"280","IN","MONTGOMERY",1,32.310624,-86.186132,"MONTGOMERY"
"281","IN","MORGAN",1,34.549833,-86.995551,"MORGAN"
"282","IN","ORANGE",2,33.640302,-117.769442,"ORANGE"
"283","IN","PORTER",2,41.683796,-86.975178,"PORTER"
"284","IN","RIPLEY",1,39.19017,-85.229151,"RIPLEY"
"285","IN","SCOTT",1,34.882558,-94.079724,"SCOTT"
"286","IN","ST. JOSEPH",1,41.734912,-86.139868,"ST. JOSEPH"
"287","IN","STARKE",1,41.25163,-86.735127,"STARKE"
"288","IN","SULLIVAN",1,38.966806,-87.384354,"SULLIVAN"
"289","IN","TIPPECANOE",1,40.39905,-86.830286,"TIPPECANOE"
"290","IN","VANDERBURGH",1,37.997128,-87.574963,"VANDERBURGH"
"291","IN","WAYNE",2,31.600775,-81.957787,"WAYNE"
"292","IN","WHITLEY",1,41.190811,-85.389672,"WHITLEY"
"293","KS","ANDERSON",1,38.213685,-95.299014,"ANDERSON"
"294","KS","BUTLER",1,31.642713,-86.734317,"BUTLER"
"295","KS","COWLEY",1,37.149582,-96.904215,"COWLEY"
"296","KS","DICKINSON",1,43.377945,-95.24015,"DICKINSON"
"297","KS","DOUGLAS",1,39.374779,-104.849988,"DOUGLAS"
"298","KS","HARVEY",1,38.021434,-97.537188,"HARVEY"
"299","KS","JOHNSON",7,35.473886,-93.516564,"JOHNSON"
"300","KS","LYON",2,43.352717,-96.311777,"LYON"
"301","KS","MARION",1,34.16493,-87.739592,"MARION"
"302","KS","MARSHALL",1,34.393855,-86.365403,"MARSHALL"
"303","KS","MIAMI",1,40.650476,-85.943552,"MIAMI"
"304","KS","NEOSHO",1,37.609218,-95.416422,"NEOSHO"
"305","KS","OSAGE",2,38.73799,-95.815754,"OSAGE"
"306","KS","SEDGWICK",4,40.875606,-102.351994,"SEDGWICK"
"307","KS","SHERMAN",1,39.366545,-101.49405,"SHERMAN"
"308","KS","WYANDOTTE",2,39.068153,-94.763938,"WYANDOTTE"
"309","KY","BATH",2,38.084908,-83.700824,"BATH"
"310","KY","BELL",1,36.714629,-83.64046,"BELL"
"311","KY","BOYLE",1,37.636006,-84.849682,"BOYLE"
"312","KY","CHRISTIAN",1,39.37433,-89.198256,"CHRISTIAN"
"313","KY","CLARK",1,34.055486,-93.189406,"CLARK"
"314","KY","CLAY",1,33.116229,-86.138624,"CLAY"
"315","KY","CUMBERLAND",1,39.274017,-88.124598,"CUMBERLAND"
"316","KY","DAVIESS",1,38.689503,-87.121505,"DAVIESS"
"317","KY","FAYETTE",4,33.712675,-87.774117,"FAYETTE"
"318","KY","FLEMING",1,38.3481,-83.718626,"FLEMING"
"319","KY","GRAYSON",1,37.552184,-86.483592,"GRAYSON"
"320","KY","GREEN",1,37.27586,-85.519334,"GREEN"
"321","KY","HARDIN",3,42.430997,-93.390638,"HARDIN"
"322","KY","HOPKINS",1,37.220571,-87.624098,"HOPKINS"
"323","KY","JEFFERSON",4,33.578097,-86.987228,"JEFFERSON"
"324","KY","JESSAMINE",1,37.950381,-84.656887,"JESSAMINE"
"325","KY","LAUREL",1,37.152074,-84.140847,"LAUREL"
"326","KY","LETCHER",2,37.043638,-82.809267,"LETCHER"
"327","KY","MADISON",1,34.719303,-86.475425,"MADISON"
"328","KY","MARTIN",1,27.050934,-80.158594,"MARTIN"
"329","KY","MC CRACKEN",1,37.031586,-88.713292,"MC CRACKEN"
"330","KY","MERCER",2,41.197762,-90.730944,"MERCER"
"331","KY","NELSON",1,37.822585,-85.466944,"NELSON"
"332","KY","PIKE",1,31.839131,-85.928538,"PIKE"
"333","KY","POWELL",1,37.847517,-83.859331,"POWELL"
"334","KY","PULASKI",1,34.694468,-92.425087,"PULASKI"
"335","KY","SIMPSON",1,36.740598,-86.583305,"SIMPSON"
"336","KY","SPENCER",2,38.149611,-86.946217,"SPENCER"
"337","KY","WASHINGTON",1,31.406683,-88.175846,"WASHINGTON"
"338","LA","ACADIA",1,30.344615,-92.345888,"ACADIA"
"339","LA","AVOYELLES",1,31.091942,-91.906093,"AVOYELLES"
"340","LA","BOSSIER",1,32.725032,-93.63759,"BOSSIER"
"341","LA","CADDO",1,32.774283,-93.883624,"CADDO"
"342","LA","CALCASIEU",2,30.233355,-93.214903,"CALCASIEU"
"343","LA","DE SOTO",1,27.186146,-81.809939,"DE SOTO"
"344","LA","E. BATON ROUGE",2,30.51589,-91.080373,"E. BATON ROUGE"
"345","LA","FRANKLIN",1,34.373392,-87.946916,"FRANKLIN"
"346","LA","IBERIA",1,30.045066,-91.878675,"IBERIA"
"347","LA","JEFFERSON",3,33.578097,-86.987228,"JEFFERSON"
"348","LA","LAFAYETTE",4,33.202695,-93.556966,"LAFAYETTE"
"349","LA","LIVINGSTON",1,41.059551,-88.417086,"LIVINGSTON"
"350","LA","NATCHITOCHES",1,32.137843,-93.090606,"NATCHITOCHES"
"351","LA","ORLEANS",4,29.958304,-90.077,"ORLEANS"
"352","LA","OUACHITA",2,33.594817,-92.851335,"OUACHITA"
"353","LA","POINTE COUPEE",1,30.829754,-91.694354,"POINTE COUPEE"
"354","LA","RAPIDES",1,31.175885,-92.431184,"RAPIDES"
"355","LA","ST. BERNARD",1,29.956803,-89.987547,"ST. BERNARD"
"356","LA","ST. JAMES",1,30.048935,-90.711904,"ST. JAMES"
"357","LA","ST. TAMMANY",1,30.477483,-89.955328,"ST. TAMMANY"
"358","LA","TANGIPAHOA",1,30.549037,-90.464466,"TANGIPAHOA"
"359","LA","WEBSTER",2,32.076133,-84.543517,"WEBSTER"
"360","MA","BARNSTABLE",2,41.745505,-70.590471,"BARNSTABLE"
"361","MA","BERKSHIRE",3,42.190904,-73.051661,"BERKSHIRE"
"362","MA","BRISTOL",8,41.998799,-71.200894,"BRISTOL"
"363","MA","ESSEX",1,42.647991,-71.165685,"ESSEX"
"364","MA","FRANKLIN",1,34.373392,-87.946916,"FRANKLIN"
"365","MA","HAMPDEN",3,42.140549,-72.788661,"HAMPDEN"
"366","MA","HAMPSHIRE",1,42.367092,-72.464571,"HAMPSHIRE"
"367","MA","MIDDLESEX",15,41.349098,-72.41338,"MIDDLESEX"
"368","MA","NORFOLK",6,42.076501,-71.470464,"NORFOLK"
"369","MA","PLYMOUTH",7,42.822482,-96.462952,"PLYMOUTH"
"370","MA","SUFFOLK",6,42.370567,-71.026964,"SUFFOLK"
"371","MA","WORCESTER",7,42.32916,-72.139465,"WORCESTER"
"372","MD","ALLEGANY",3,39.580691,-78.690593,"ALLEGANY"
"373","MD","ANNE ARUNDEL",5,38.802263,-76.645735,"ANNE ARUNDEL"
"374","MD","BALTIMORE",4,39.496406,-76.486624,"BALTIMORE"
"375","MD","BALTIMORE CITY",6,39.296536,-76.623489,"BALTIMORE CITY"
"376","MD","CARROLL",1,36.431111,-93.699392,"CARROLL"
"377","MD","CHARLES",2,38.603783,-76.867928,"CHARLES"
"378","MD","DORCHESTER",1,38.479813,-76.079864,"DORCHESTER"
"379","MD","FREDERICK",2,39.512748,-77.369299,"FREDERICK"
"380","MD","HOWARD",3,34.136218,-94.044286,"HOWARD"
"381","MD","MONTGOMERY",6,32.310624,-86.186132,"MONTGOMERY"
"382","MD","PRINCE GEORGES",6,38.666071,-76.998396,"PRINCE GEORGES"
"383","MD","ST. MARYS",1,38.247149,-76.748088,"ST. MARYS"
"384","MD","TALBOT",1,32.701117,-84.494946,"TALBOT"
"385","MD","WASHINGTON",2,31.406683,-88.175846,"WASHINGTON"
"386","MD","WORCESTER",1,42.32916,-72.139465,"WORCESTER"
"387","ME","ANDROSCOGGIN",2,44.087422,-70.243848,"ANDROSCOGGIN"
"388","ME","AROOSTOOK",1,46.516166,-68.886826,"AROOSTOOK"
"389","ME","CUMBERLAND",4,39.274017,-88.124598,"CUMBERLAND"
"390","ME","KNOX",1,40.964613,-90.213654,"KNOX"
"391","ME","LINCOLN",1,34.024648,-91.626178,"LINCOLN"
"392","ME","PENOBSCOT",1,45.061744,-68.878893,"PENOBSCOT"
"393","ME","YORK",1,43.279539,-70.740013,"YORK"
"394","MI","ALLEGAN",2,42.539295,-85.894873,"ALLEGAN"
"395","MI","BERRIEN",2,31.383968,-83.221348,"BERRIEN"
"396","MI","BRANCH",1,41.880399,-85.162804,"BRANCH"
"397","MI","CHEBOYGAN",1,45.753019,-84.691745,"CHEBOYGAN"
"398","MI","CRAWFORD",1,35.479157,-94.193334,"CRAWFORD"
"399","MI","DELTA",1,38.805013,-107.983125,"DELTA"
"400","MI","DICKINSON",1,43.377945,-95.24015,"DICKINSON"
"401","MI","EATON",1,42.574191,-84.838452,"EATON"
"402","MI","GENESEE",2,42.940019,-83.536923,"GENESEE"
"403","MI","HURON",1,43.79455,-82.949138,"HURON"
"404","MI","INGHAM",2,42.599184,-84.371973,"INGHAM"
"405","MI","IRON",1,46.030951,-88.377097,"IRON"
"406","MI","JACKSON",4,34.799983,-85.803464,"JACKSON"
"407","MI","KALAMAZOO",1,42.261596,-85.510095,"KALAMAZOO"
"408","MI","KALKASKA",1,44.697144,-85.092905,"KALKASKA"
"409","MI","KENT",5,39.156376,-75.49549,"KENT"
"410","MI","LAPEER",1,42.934027,-83.052481,"LAPEER"
"411","MI","LENAWEE",1,41.985346,-84.314543,"LENAWEE"
"412","MI","MACKINAC",1,46.007211,-84.276199,"MACKINAC"
"413","MI","MACOMB",5,42.850051,-82.894993,"MACOMB"
"414","MI","MONROE",1,31.56779,-87.250028,"MONROE"
"415","MI","MONTCALM",1,43.279958,-85.05493,"MONTCALM"
"416","MI","OAKLAND",8,42.606088,-83.297593,"OAKLAND"
"417","MI","OGEMAW",1,44.324353,-84.162443,"OGEMAW"
"418","MI","OTTAWA",4,39.019928,-97.622108,"OTTAWA"
"419","MI","SAGINAW",2,43.27849,-83.81449,"SAGINAW"
"420","MI","ST. CLAIR",2,33.603543,-86.466833,"ST. CLAIR"
"421","MI","ST. JOSEPH",1,41.734912,-86.139868,"ST. JOSEPH"
"422","MI","WAYNE",17,31.600775,-81.957787,"WAYNE"
"423","MI","WEXFORD",2,44.335278,-85.549093,"WEXFORD"
"424","MN","ANOKA",3,45.388716,-93.231538,"ANOKA"
